+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.246894;0.264925;0.399519;0.82123;0.101737;0.633849;0;1;0;0;0;
0.226517;0.310491;0.375107;0.782252;0.116897;0.666302;0;1;0;0;0;
0.209151;0.337348;0.356266;0.766425;0.146375;0.685102;0;1;0;0;0;
0.188179;0.322517;0.327948;0.742474;0.170341;0.706664;0;0;0;0;1;
0.202232;0.286294;0.381175;0.744929;0.161668;0.654882;0;0;0;0;1;
0.220733;0.272125;0.469292;0.74027;0.13398;0.220838;0;0;0;0;1;
0.232146;0.258107;0.599724;0.741652;0.125811;0.190368;0;0;0;0;1;
0.275307;0.250246;0.767289;0.754614;0.114892;0.177511;0;0;0;0;1;
0.317742;0.226604;0.756365;0.439139;0.118101;0.175967;0;1;0;0;0;
0.314026;0.227588;0.724159;0.76384;0.12682;0.209701;0;1;0;0;0;
0.29076;0.220594;0.696665;0.732254;0.126334;0.24016;0;1;0;0;0;
0.297051;0.215387;0.6703;0.699075;0.124444;0.265643;0;1;0;0;0;
0.283665;0.197054;0.626557;0.675626;0.148922;0.284889;0;1;0;0;0;
0.265201;0.191436;0.605767;0.640952;0.140449;0.314275;0;1;0;0;0;
0.252107;0.198774;0.581243;0.603765;0.144901;0.351233;0;1;0;0;0;
0.247254;0.186631;0.538008;0.583007;0.15026;0.37661;0;1;0;0;0;
0.237093;0.187886;0.525125;0.549222;0.17201;0.396845;0;0;0;0;1;
0.2955;0.185017;0.501149;0.577776;0.161853;0.389539;0;0;0;0;1;
0.353249;0.174991;0.505507;0.612339;0.149033;0.403416;0;0;0;0;1;
0.459634;0.171498;0.517049;0.678207;0.160703;0.404818;0;1;0;0;0;
0.464146;0.171924;0.47914;0.635911;0.154639;0.42789;0;1;0;0;0;
0.470871;0.177893;0.449933;0.596558;0.148381;0.447029;0;1;0;0;0;
0.481291;0.189141;0.418022;0.562644;0.15019;0.476868;0;1;0;0;0;
0.450594;0.18832;0.398894;0.529648;0.1538;0.514709;0;1;0;0;0;
0.40653;0.184856;0.361171;0.489113;0.139741;0.543952;0;1;0;0;0;
0.37494;0.198304;0.342656;0.449718;0.142288;0.580827;0;1;0;0;0;
0.347598;0.202133;0.310599;0.418067;0.141119;0.60951;0;1;0;0;0;
0.312706;0.209465;0.282016;0.370687;0.12885;0.627511;0;1;0;0;0;
0.275898;0.200996;0.240353;0.334661;0.13758;0.657132;0;1;0;0;0;
0.247986;0.200753;0.208245;0.30789;0.130895;0.677518;0;0;0;0;1;
0.240405;0.216261;0.225063;0.33613;0.139327;0.707486;0;0;0;0;1;
0.221094;0.226787;0.23175;0.396313;0.147596;0.728498;0;0;0;0;1;
0.227727;0.230353;0.240263;0.476064;0.148897;0.574558;0;0;0;0;1;
0.21665;0.255156;0.2754;0.594833;0.158966;0.42992;0;1;0;0;0;
0.185431;0.258509;0.234389;0.551968;0.138478;0.462411;0;1;0;0;0;
0.166258;0.273962;0.212904;0.492168;0.1187;0.500952;0;1;0;0;0;
0.15042;0.301935;0.180755;0.440607;0.116155;0.52697;0;1;0;0;0;
0.117128;0.319861;0.150494;0.384356;0.107969;0.550242;0;1;0;0;0;
0.090447;0.340355;0.121601;0.316052;0.651376;0.582749;0;0;0;0;1;
0.0958233;0.29744;0.140323;0.439836;0.711366;0.48401;0;0;0;0;1;
0.10077;0.254302;0.160352;0.527771;0.0986383;0.405923;0;0;0;0;1;
0.101021;0.216144;0.19315;0.524673;0.12188;0.351547;0;0;0;0;1;
0.109808;0.195837;0.236805;0.512691;0.154595;0.301322;0;0;0;0;1;
0.128824;0.181129;0.31199;0.495374;0.194047;0.283356;0;0;0;0;1;
0.149097;0.158105;0.404352;0.517625;0.239489;0.252591;0;1;0;0;0;
0.13816;0.148459;0.389196;0.490166;0.181806;0.285794;0;1;0;0;0;
0.121773;0.128513;0.354024;0.46057;0.109523;0.322834;0;1;0;0;0;
0.0932964;0.118724;0.325598;0.4336;0.634012;0.351234;0;1;0;0;0;
0.0930389;0.116165;0.291068;0.400562;0.641194;0.369232;0;1;0;0;0;
0.0737251;0.101017;0.267076;0.381847;0.649244;0.403666;0;0;0;0;1;
0.100035;0.0882245;0.397191;0.379077;0.629478;0.382831;0;0;0;0;1;
0.112304;0.0883883;0.374716;0.408263;0.598593;0.377343;0;0;0;0;1;
0.137167;0.0870496;0.382464;0.42317;0.586117;0.354927;0;0;0;0;1;
0.189387;0.0918216;0.3791;0.458734;0.0999727;0.348751;0;0;0;0;1;
0.254953;0.0854004;0.382923;0.502846;0.922165;0.369963;0;0;0;0;1;
0.355107;0.0932268;0.381876;0.572496;0.946966;0.364142;0;0;0;0;1;
0.377497;0.100027;0.386649;0.643247;0.966683;0.377813;0;1;0;0;0;
0.359226;0.110404;0.360305;0.597275;0.964136;0.416056;0;1;0;0;0;
0.336014;0.114765;0.34794;0.567781;0.0787972;0.441014;0;1;0;0;0;
0.293208;0.123509;0.304549;0.510976;0.141946;0.472712;0;1;0;0;0;
0.264947;0.123691;0.275004;0.477551;0.246748;0.5009;0;1;0;0;0;
