+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.469;0.069;0.218;0.226;0.603;0.218;0;0;0;0;1;
0.469;0.067;0.224;0.217;0.607;0.214;0;0;0;0;1;
0.469;0.064;0.216;0.227;0.578;0.207;0;0;0;0;1;
0.469;0.057;0.204;0.243;0.053;0.210;0;0;0;0;1;
0.469;0.049;0.204;0.270;0.165;0.213;0;0;0;0;1;
0.469;0.051;0.236;0.408;0.693;0.170;0;1;0;0;0;
0.469;0.047;0.235;0.411;0.658;0.174;0;1;0;0;0;
0.469;0.054;0.232;0.417;0.699;0.193;0;1;0;0;0;
0.469;0.066;0.203;0.382;0.644;0.217;0;1;0;0;0;
0.469;0.103;0.133;0.261;0.136;0.290;0;0;0;0;1;
0.469;0.099;0.130;0.259;0.138;0.271;0;0;0;0;1;
0.469;0.120;0.176;0.475;0.070;0.122;0;1;0;0;0;
0.469;0.120;0.178;0.491;0.072;0.118;0;1;0;0;0;
0.469;0.125;0.169;0.489;0.081;0.135;0;1;0;0;0;
0.469;0.182;0.092;0.345;0.171;0.197;0;0;0;0;1;
0.469;0.182;0.091;0.347;0.167;0.194;0;0;0;0;1;
0.469;0.182;0.105;0.442;0.152;0.151;0;0;0;0;1;
0.469;0.162;0.123;0.459;0.135;0.115;0;0;0;0;1;
0.469;0.123;0.179;0.461;0.104;0.096;0;0;0;0;1;
0.469;0.074;0.432;0.447;0.480;0.060;0;1;0;0;0;
0.469;0.077;0.445;0.460;0.492;0.062;0;1;0;0;0;
0.469;0.071;0.453;0.460;0.461;0.076;0;1;0;0;0;
0.469;0.056;0.369;0.399;0.122;0.144;0;0;0;0;1;
0.469;0.057;0.367;0.413;0.118;0.140;0;0;0;0;1;
0.469;0.053;0.381;0.403;0.113;0.136;0;0;0;0;1;
0.469;0.036;0.395;0.214;0.504;0.139;0;1;0;0;0;
0.469;0.037;0.397;0.213;0.504;0.138;0;1;0;0;0;
0.469;0.036;0.395;0.213;0.502;0.151;0;1;0;0;0;
0.469;0.042;0.377;0.210;0.179;0.173;0;1;0;0;0;
0.469;0.044;0.361;0.197;0.117;0.202;0;1;0;0;0;
0.469;0.051;0.325;0.194;0.109;0.226;0;1;0;0;0;
0.469;0.051;0.303;0.188;0.107;0.242;0;1;0;0;0;
0.469;0.053;0.273;0.176;0.107;0.264;0;1;0;0;0;
0.469;0.059;0.272;0.175;0.099;0.290;0;1;0;0;0;
0.469;0.059;0.233;0.170;0.095;0.315;0;1;0;0;0;
0.469;0.067;0.214;0.163;0.090;0.333;0;1;0;0;0;
0.469;0.071;0.189;0.162;0.086;0.360;0;1;0;0;0;
0.469;0.071;0.156;0.157;0.087;0.386;0;1;0;0;0;
0.469;0.103;0.495;0.132;0.042;0.026;0;1;0;0;0;
0.469;0.104;0.511;0.130;0.042;0.029;0;1;0;0;0;
0.469;0.107;0.501;0.130;0.038;0.036;0;1;0;0;0;
0.469;0.105;0.499;0.133;0.044;0.051;0;1;0;0;0;
0.469;0.104;0.461;0.133;0.042;0.073;0;1;0;0;0;
0.469;0.107;0.455;0.130;0.036;0.099;0;1;0;0;0;
0.469;0.104;0.429;0.126;0.040;0.119;0;1;0;0;0;
0.469;0.101;0.337;0.128;0.044;0.193;0;0;0;1;0;
0.469;0.106;0.334;0.126;0.042;0.192;0;0;0;1;0;
0.469;0.106;0.335;0.154;0.045;0.190;1;0;0;0;0;
0.469;0.125;0.369;0.362;0.047;0.206;0;1;0;0;0;
0.469;0.126;0.372;0.360;0.042;0.204;0;1;0;0;0;
0.469;0.124;0.367;0.351;0.044;0.218;0;1;0;0;0;
0.469;0.114;0.353;0.337;0.048;0.241;0;1;0;0;0;
0.469;0.105;0.334;0.316;0.055;0.261;0;1;0;0;0;
0.469;0.080;0.263;0.244;0.081;0.315;0;0;0;1;0;
0.469;0.090;0.265;0.235;0.085;0.282;0;1;0;0;0;
0.469;0.089;0.256;0.236;0.086;0.279;0;1;0;0;0;
0.469;0.079;0.246;0.213;0.096;0.325;0;1;0;0;0;
0.469;0.068;0.222;0.196;0.107;0.334;0;1;0;0;0;
0.469;0.034;0.163;0.137;0.132;0.383;0;1;0;0;0;
0.469;0.034;0.160;0.136;0.129;0.390;0;1;0;0;0;
0.469;0.404;0.107;0.087;0.154;0.438;0;0;0;1;0;
0.469;0.402;0.106;0.090;0.152;0.429;0;0;0;1;0;
0.469;0.406;0.112;0.085;0.159;0.371;0;0;0;1;0;
0.469;0.086;0.119;0.084;0.176;0.242;0;0;0;1;0;
0.469;0.044;0.148;0.089;0.199;0.171;0;0;0;1;0;
0.469;0.141;0.248;0.111;0.178;0.095;0;1;0;0;0;
0.469;0.142;0.255;0.111;0.176;0.097;0;1;0;0;0;
0.469;0.130;0.256;0.107;0.170;0.114;0;1;0;0;0;
0.469;0.175;0.173;0.058;0.121;0.180;0;0;0;1;0;
0.469;0.225;0.177;0.059;0.121;0.177;0;0;0;1;0;
0.469;0.060;0.220;0.072;0.097;0.148;0;0;0;1;0;
0.469;0.061;0.290;0.075;0.091;0.147;0;0;0;1;0;
0.469;0.183;0.286;0.105;0.075;0.125;0;0;0;1;0;
0.469;0.185;0.288;0.106;0.074;0.125;0;0;0;1;0;
0.469;0.222;0.297;0.125;0.071;0.119;0;0;0;1;0;
0.469;0.576;0.288;0.267;0.063;0.114;0;1;0;0;0;
0.469;0.580;0.283;0.266;0.059;0.112;0;1;0;0;0;
0.469;0.578;0.280;0.269;0.064;0.130;0;1;0;0;0;
0.469;0.576;0.251;0.265;0.066;0.152;0;1;0;0;0;
0.469;0.562;0.237;0.249;0.067;0.176;0;1;0;0;0;
0.469;0.333;0.222;0.238;0.072;0.194;0;1;0;0;0;
0.469;0.383;0.135;0.160;0.074;0.265;0;0;0;1;0;
0.469;0.389;0.135;0.160;0.074;0.261;0;0;0;1;0;
0.469;0.327;0.137;0.151;0.074;0.273;0;0;0;1;0;
0.469;0.162;0.140;0.146;0.080;0.278;0;0;0;1;0;
0.469;0.106;0.178;0.127;0.106;0.142;0;1;0;0;0;
0.469;0.106;0.181;0.129;0.098;0.145;0;1;0;0;0;
0.469;0.126;0.125;0.077;0.149;0.200;0;0;0;1;0;
0.469;0.134;0.127;0.077;0.146;0.192;0;0;0;1;0;
0.469;0.097;0.157;0.082;0.183;0.126;0;1;0;0;0;
0.469;0.102;0.153;0.083;0.183;0.128;0;1;0;0;0;
0.469;0.152;0.104;0.042;0.179;0.185;0;0;0;1;0;
0.469;0.156;0.103;0.042;0.175;0.179;0;0;0;1;0;
0.469;0.140;0.118;0.049;0.144;0.137;0;0;0;1;0;
0.469;0.124;0.137;0.058;0.124;0.103;0;0;0;1;0;
0.469;0.146;0.240;0.063;0.091;0.087;0;0;0;1;0;
0.469;0.435;0.431;0.132;0.060;0.058;0;1;0;0;0;
0.469;0.435;0.455;0.135;0.061;0.055;0;1;0;0;0;
0.469;0.435;0.454;0.127;0.056;0.072;0;1;0;0;0;
0.469;0.433;0.434;0.123;0.058;0.097;0;1;0;0;0;
0.469;0.435;0.427;0.118;0.053;0.116;0;1;0;0;0;
0.469;0.125;0.339;0.119;0.052;0.189;0;0;0;1;0;
0.469;0.124;0.330;0.126;0.049;0.186;0;0;0;1;0;
0.469;0.125;0.333;0.361;0.046;0.186;0;0;0;1;0;
0.469;0.127;0.330;0.372;0.037;0.190;0;0;0;1;0;
0.469;0.515;0.360;0.336;0.039;0.181;0;1;0;0;0;
0.469;0.515;0.373;0.335;0.040;0.175;0;1;0;0;0;
0.469;0.505;0.358;0.309;0.051;0.212;0;1;0;0;0;
0.469;0.337;0.326;0.296;0.053;0.224;0;1;0;0;0;
0.469;0.120;0.277;0.241;0.078;0.273;0;0;0;0;1;
0.469;0.121;0.285;0.247;0.076;0.275;0;0;0;0;1;
0.469;0.101;0.249;0.265;0.071;0.289;0;1;0;0;0;
0.469;0.098;0.253;0.266;0.074;0.289;0;1;0;0;0;
0.469;0.096;0.245;0.259;0.077;0.310;0;1;0;0;0;
0.469;0.085;0.170;0.182;0.355;0.374;0;0;0;0;1;
0.469;0.084;0.169;0.185;0.389;0.376;0;0;0;0;1;
0.469;0.078;0.163;0.206;0.093;0.366;0;0;0;0;1;
0.469;0.071;0.162;0.219;0.097;0.365;0;0;0;0;1;
0.469;0.068;0.184;0.288;0.115;0.389;0;1;0;0;0;
0.469;0.071;0.179;0.286;0.111;0.387;0;1;0;0;0;
0.469;0.067;0.179;0.271;0.107;0.403;0;1;0;0;0;
0.469;0.073;0.165;0.260;0.106;0.427;0;1;0;0;0;
0.469;0.097;0.080;0.158;0.446;0.482;0;0;0;0;1;
0.469;0.097;0.078;0.155;0.449;0.495;0;0;0;0;1;
0.469;0.103;0.095;0.217;0.112;0.236;0;0;0;0;1;
0.469;0.122;0.113;0.350;0.119;0.150;0;1;0;0;0;
0.469;0.122;0.114;0.354;0.122;0.152;0;1;0;0;0;
0.469;0.166;0.056;0.233;0.272;0.196;0;0;0;0;1;
0.469;0.166;0.059;0.243;0.273;0.194;0;0;0;0;1;
0.469;0.169;0.069;0.313;0.132;0.159;0;0;0;0;1;
0.469;0.154;0.082;0.362;0.118;0.114;0;0;0;0;1;
0.469;0.115;0.104;0.358;0.166;0.083;0;0;0;0;1;
0.469;0.065;0.331;0.371;0.393;0.047;0;1;0;0;0;
0.469;0.058;0.316;0.357;0.315;0.071;0;0;0;0;1;
0.469;0.056;0.321;0.362;0.319;0.070;0;0;0;0;1;
0.469;0.054;0.332;0.374;0.411;0.065;0;0;0;0;1;
0.469;0.051;0.343;0.372;0.607;0.063;0;0;0;0;1;
0.469;0.042;0.354;0.453;0.617;0.066;0;1;0;0;0;
0.469;0.043;0.357;0.449;0.653;0.068;0;1;0;0;0;
0.469;0.057;0.296;0.399;0.619;0.136;0;1;0;0;0;
0.469;0.056;0.290;0.396;0.616;0.136;0;1;0;0;0;
0.469;0.055;0.293;0.383;0.641;0.150;0;1;0;0;0;
0.469;0.073;0.228;0.321;0.580;0.210;0;0;0;0;1;
0.469;0.072;0.224;0.328;0.588;0.207;0;0;0;0;1;
0.469;0.069;0.252;0.446;0.643;0.219;0;1;0;0;0;
0.469;0.075;0.256;0.451;0.643;0.217;0;1;0;0;0;
0.469;0.073;0.241;0.460;0.651;0.234;0;1;0;0;0;
0.469;0.085;0.229;0.407;0.660;0.248;0;1;0;0;0;
0.469;0.122;0.143;0.297;0.100;0.318;0;0;0;0;1;
0.469;0.125;0.146;0.281;0.103;0.315;0;0;0;0;1;
0.469;0.150;0.188;0.496;0.046;0.153;0;1;0;0;0;
0.469;0.152;0.198;0.492;0.047;0.150;0;1;0;0;0;
0.469;0.192;0.146;0.441;0.100;0.199;0;0;0;0;1;
0.469;0.196;0.143;0.444;0.101;0.195;0;0;0;0;1;
0.469;0.205;0.182;0.478;0.077;0.127;0;0;0;0;1;
0.469;0.198;0.206;0.477;0.057;0.113;0;0;0;0;1;
0.469;0.152;0.359;0.475;0.463;0.074;0;0;0;0;1;
0.469;0.150;0.352;0.482;0.463;0.072;0;0;0;0;1;
0.469;0.118;0.477;0.368;0.444;0.050;0;1;0;0;0;
0.469;0.122;0.480;0.366;0.442;0.050;0;1;0;0;0;
0.469;0.116;0.456;0.386;0.459;0.087;0;1;0;0;0;
0.469;0.099;0.400;0.383;0.068;0.136;0;1;0;0;0;
0.469;0.101;0.405;0.390;0.072;0.135;0;1;0;0;0;
0.469;0.098;0.404;0.386;0.069;0.149;0;1;0;0;0;
0.469;0.091;0.387;0.372;0.078;0.174;0;1;0;0;0;
0.469;0.085;0.361;0.370;0.087;0.190;0;1;0;0;0;
0.469;0.083;0.345;0.351;0.085;0.218;0;1;0;0;0;
0.469;0.077;0.334;0.323;0.093;0.246;0;1;0;0;0;
0.469;0.070;0.299;0.296;0.102;0.267;0;1;0;0;0;
0.469;0.065;0.284;0.279;0.104;0.285;0;1;0;0;0;
0.469;0.060;0.250;0.258;0.116;0.306;0;1;0;0;0;
0.469;0.055;0.241;0.226;0.120;0.334;0;1;0;0;0;
0.469;0.047;0.220;0.213;0.126;0.351;0;1;0;0;0;
0.469;0.025;0.122;0.123;0.146;0.422;0;0;0;0;1;
0.469;0.024;0.128;0.123;0.149;0.420;0;0;0;0;1;
0.469;0.021;0.119;0.129;0.146;0.408;0;0;0;0;1;
0.469;0.016;0.125;0.195;0.152;0.384;0;1;0;0;0;
0.469;0.014;0.119;0.197;0.158;0.385;0;1;0;0;0;
0.469;0.018;0.123;0.176;0.153;0.394;0;1;0;0;0;
0.469;0.024;0.476;0.287;0.113;0.027;0;1;0;0;0;
0.469;0.025;0.508;0.286;0.115;0.029;0;1;0;0;0;
0.469;0.023;0.508;0.295;0.113;0.033;0;1;0;0;0;
0.469;0.026;0.473;0.303;0.116;0.059;0;1;0;0;0;
0.469;0.025;0.466;0.291;0.115;0.088;0;1;0;0;0;
0.469;0.022;0.422;0.291;0.111;0.105;0;1;0;0;0;
0.469;0.025;0.414;0.298;0.117;0.132;0;1;0;0;0;
0.469;0.021;0.393;0.298;0.115;0.153;0;1;0;0;0;
0.469;0.023;0.366;0.320;0.112;0.176;0;1;0;0;0;
0.469;0.026;0.338;0.310;0.115;0.202;0;1;0;0;0;
0.469;0.022;0.311;0.303;0.116;0.225;0;1;0;0;0;
0.469;0.021;0.298;0.301;0.115;0.248;0;1;0;0;0;
0.469;0.021;0.279;0.294;0.116;0.273;0;1;0;0;0;
0.469;0.026;0.250;0.283;0.115;0.290;0;1;0;0;0;
0.469;0.021;0.167;0.224;0.114;0.367;0;0;0;1;0;
0.469;0.019;0.166;0.224;0.114;0.366;0;0;0;1;0;
0.469;0.021;0.172;0.194;0.116;0.381;0;0;0;1;0;
0.469;0.024;0.172;0.187;0.118;0.381;0;0;0;1;0;
0.469;0.039;0.187;0.170;0.126;0.387;0;0;0;1;0;
0.469;0.041;0.183;0.171;0.126;0.380;0;0;0;1;0;
0.469;0.043;0.185;0.166;0.131;0.361;0;0;0;1;0;
0.469;0.063;0.214;0.161;0.149;0.213;0;1;0;0;0;
0.469;0.061;0.223;0.161;0.147;0.218;0;1;0;0;0;
0.469;0.049;0.201;0.133;0.171;0.249;0;1;0;0;0;
0.469;0.120;0.135;0.091;0.208;0.299;0;0;0;1;0;
0.469;0.113;0.136;0.086;0.200;0.293;0;0;0;1;0;
0.469;0.050;0.141;0.091;0.214;0.246;0;0;0;1;0;
0.469;0.031;0.170;0.098;0.231;0.191;0;0;0;1;0;
0.469;0.034;0.180;0.101;0.223;0.163;0;0;0;1;0;
0.469;0.158;0.341;0.134;0.151;0.100;0;1;0;0;0;
0.469;0.158;0.344;0.133;0.152;0.104;0;1;0;0;0;
0.469;0.146;0.331;0.125;0.142;0.122;0;1;0;0;0;
0.469;0.100;0.311;0.115;0.137;0.140;0;1;0;0;0;
0.469;0.564;0.257;0.082;0.104;0.206;0;0;0;1;0;
0.469;0.567;0.255;0.083;0.101;0.202;0;0;0;1;0;
0.469;0.525;0.251;0.104;0.088;0.184;0;0;0;1;0;
0.469;0.213;0.243;0.113;0.083;0.183;0;0;0;1;0;
0.469;0.055;0.225;0.173;0.073;0.171;0;0;0;1;0;
0.469;0.056;0.229;0.175;0.073;0.170;0;0;0;1;0;
0.469;0.061;0.224;0.193;0.068;0.167;0;0;0;1;0;
0.469;0.118;0.222;0.242;0.067;0.170;0;0;0;1;0;
0.469;0.599;0.231;0.228;0.062;0.203;0;1;0;0;0;
0.469;0.599;0.231;0.224;0.062;0.203;0;1;0;0;0;
0.469;0.601;0.233;0.215;0.064;0.216;0;1;0;0;0;
0.469;0.606;0.212;0.200;0.075;0.237;0;1;0;0;0;
0.469;0.082;0.197;0.183;0.080;0.253;1;0;0;0;0;
0.469;0.265;0.105;0.086;0.105;0.330;0;0;0;1;0;
0.469;0.280;0.092;0.089;0.107;0.330;0;0;0;1;0;
0.469;0.252;0.095;0.089;0.108;0.331;0;0;0;1;0;
0.469;0.191;0.102;0.084;0.112;0.253;0;0;0;1;0;
0.469;0.155;0.120;0.083;0.113;0.166;0;0;0;1;0;
0.469;0.446;0.201;0.093;0.172;0.058;0;1;0;0;0;
0.469;0.445;0.197;0.097;0.178;0.059;0;1;0;0;0;
0.469;0.409;0.202;0.089;0.173;0.075;0;1;0;0;0;
0.469;0.156;0.179;0.072;0.170;0.097;0;1;0;0;0;
0.469;0.152;0.111;0.025;0.115;0.167;0;0;0;1;0;
0.469;0.162;0.098;0.022;0.099;0.173;0;0;0;1;0;
0.469;0.152;0.117;0.024;0.076;0.138;0;0;0;1;0;
0.469;0.148;0.144;0.028;0.063;0.134;0;0;0;1;0;
0.469;0.212;0.432;0.057;0.044;0.108;0;0;0;1;0;
0.469;0.211;0.420;0.057;0.046;0.104;0;0;0;1;0;
0.469;0.459;0.410;0.091;0.038;0.094;0;0;0;1;0;
0.469;0.462;0.415;0.119;0.035;0.093;0;0;0;1;0;
0.469;0.486;0.445;0.352;0.033;0.102;0;1;0;0;0;
0.469;0.485;0.412;0.349;0.033;0.103;0;1;0;0;0;
0.469;0.479;0.431;0.383;0.031;0.121;0;1;0;0;0;
0.469;0.475;0.407;0.401;0.035;0.146;0;1;0;0;0;
